bot;aposta_id;event_id;mercado_tick;mercado_tipo;linha;selecao;odd;liga;apostado_em;veredito;motivos
SENTINELA-E-WCA-HC;71424;17147196;Handicap;16;1.50;USA (Revange) (+1.5);1.750;World Cup A;2026-07-21 09:53:42.015129;OK;
SENTINELA-E-WCA-HC;71434;17147200;Handicap;16;-0.50;Scotland (DaVa) (-0.5);1.750;World Cup A;2026-07-21 10:05:15.831275;OK;
SENTINELA-E-WCA-HC;71437;17147205;Handicap;16;-0.50;Croatia (sane4ek8) (-0.5);1.820;World Cup A;2026-07-21 10:05:19.255610;OK;
SENTINELA-E-WCA-HC;71438;17147205;Handicap;16;0.50;Saudi Arabia (BlackStar98) (+0.5);1.880;World Cup A;2026-07-21 10:05:19.256476;OK;
SENTINELA-E-WCA-HC;71444;17147166;Handicap;16;-0.50;Croatia (sane4ek8) (-0.5);2.500;World Cup A;2026-07-21 10:18:04.407984;OK;
SENTINELA-E-WCA-HC;71445;17147166;Handicap;16;0.50;Scotland (DaVa) (+0.5);1.470;World Cup A;2026-07-21 10:18:04.408555;OK;
SENTINELA-E-WCA-HC;71446;17147176;Handicap;16;0.50;USA (Revange) (+0.5);1.600;World Cup A;2026-07-21 10:18:56.236890;OK;
SENTINELA-E-WCA-HC;71447;17147176;Handicap;16;-0.50;Germany (dm1trena) (-0.5);2.200;World Cup A;2026-07-21 10:18:56.239436;OK;
SENTINELA-E-WCA-HC;71452;17152203;Handicap;16;-0.50;Croatia (llulle) (-0.5);1.900;World Cup A;2026-07-21 10:28:51.874600;OK;
SENTINELA-E-WCA-HC;71453;17152195;Handicap;16;2.50;Germany (cappo) (+2.5);1.750;World Cup A;2026-07-21 10:28:51.917449;OK;
SENTINELA-E-WCA-HC;71458;17147175;Handicap;16;-0.50;Scotland (DaVa) (-0.5);1.800;World Cup A;2026-07-21 10:30:06.893065;OK;
SENTINELA-E-WCA-HC;71459;17147159;Handicap;16;-1.50;Croatia (sane4ek8) (-1.5);2.250;World Cup A;2026-07-21 10:30:06.926639;OK;
SENTINELA-E-WCA-HC;71472;17152197;Handicap;16;-1.50;Croatia (llulle) (-1.5);2.100;World Cup A;2026-07-21 10:40:34.442409;OK;
SENTINELA-E-WCA-HC;71473;17152197;Handicap;16;1.50;Germany (cappo) (+1.5);1.650;World Cup A;2026-07-21 10:40:34.443071;OK;
SENTINELA-E-WCA-HC;71474;17152200;Handicap;16;-1.50;Sweden (Cofi111) (-1.5);2.150;World Cup A;2026-07-21 10:40:34.768294;OK;
SENTINELA-E-WCA-HC;71475;17152200;Handicap;16;1.50;Scotland (Sena) (+1.5);1.620;World Cup A;2026-07-21 10:40:34.768753;OK;
SENTINELA-E-WCA-HC;71478;17152210;Handicap;16;0.50;Scotland (Sena) (+0.5);1.570;World Cup A;2026-07-21 10:50:56.764806;OK;
SENTINELA-E-WCA-HC;71481;17152208;Handicap;16;0.50;Germany (cappo) (+0.5);1.670;World Cup A;2026-07-21 10:52:35.529359;OK;
SENTINELA-E-WCA-HC;71486;17152201;Handicap;16;0.50;Sweden (Cofi111) (+0.5);2.000;World Cup A;2026-07-21 11:02:14.755754;OK;
SENTINELA-E-WCA-HC;71488;17152198;Handicap;16;-1.50;Scotland (Sena) (-1.5);1.800;World Cup A;2026-07-21 11:02:23.377102;OK;
SENTINELA-E-WCA-HC;71487;17152198;Handicap;16;1.50;Czechia (Cira) (+1.5);1.900;World Cup A;2026-07-21 11:02:23.377427;OK;
