Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:32:39,Handicap,Phoenix Suns (DOMAIN) +11.5,11.5,1.0,27,1.0,10,1.0,20,1.0,27,1.0,27,1.8,66-53,82-71,Green,0.8,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:33:11,Handicap,Phoenix Suns (DOMAIN) +10.5,10.5,0.9629629629629629,27,1.0,10,0.95,20,0.9629629629629629,27,0.9629629629629629,27,1.85,70-58,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:10:06,Handicap,Boston Celtics (STRIKE) +2.5,2.5,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,1.9,0-0,37-40,Red,-1.0,90530309
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:16:57,Handicap,Oklahoma City Thunder (BLADE) +2.5,2.5,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,1.75,5-0,37-40,Green,0.75,90530309
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:17:21,Handicap,Oklahoma City Thunder (BLADE) +1.5,1.5,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,1.75,5-2,37-40,Green,0.75,90530309
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:18:15,Handicap,Boston Celtics (STRIKE) +1.5,1.5,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,1.67,5-3,37-40,Red,-1.0,90530309
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:19:11,Handicap,Boston Celtics (STRIKE) +3.5,3.5,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,0.5555555555555556,9,1.78,5-7,37-40,Green,0.78,90530309
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:28:28,Handicap,Boston Celtics (STRIKE) +4.5,4.5,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,1.78,17-20,37-40,Green,0.78,90530309
,NBA H2H GG League 4x5 minutes,STRIKE x BLADE,STRIKE,Boston Celtics,BLADE,Oklahoma City Thunder,11/08/2026,03:28:39,Handicap,Boston Celtics (STRIKE) +5.5,5.5,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,0.6666666666666666,9,1.78,17-20,37-40,Green,0.78,90530309
,NBA H2H GG League 4x5 minutes,CASCADE x ARACHNE,CASCADE,Los Angeles Lakers,ARACHNE,New York Knicks,11/08/2026,03:14:03,Handicap,New York Knicks (ARACHNE) +2.5,2.5,0.5517241379310345,29,0.6,10,0.7,20,0.5517241379310345,29,0.5517241379310345,29,1.88,0-0,58-51,Red,-1.0,90530312
