Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Últ. 100,Qtd Últ. 100,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Italy Cyber Cup (UA),fillanchik x Terry14,fillanchik,Lecce,Terry14,Juventus,26/08/2026,06:52:29,Total de Gols,Under,7.5,0.5625,112,0.6,10,0.5,20,0.4666666666666667,30,0.54,50,0.56,100,1.98,0-0,2-4,Green,0.98,17502956
, CLA-UA Italy Cyber Cup (UA),fillanchik x Terry14,fillanchik,Lecce,Terry14,Juventus,26/08/2026,06:53:24,Total de Gols,Under,8.5,0.7946428571428571,112,0.9,10,0.8,20,0.7333333333333333,30,0.8,50,0.79,100,1.78,0-0,2-4,Green,0.78,17502956
, CLA-UA Italy Cyber Cup (UA),fillanchik x Terry14,fillanchik,Lecce,Terry14,Juventus,26/08/2026,06:59:34,Total de Gols,Under,6.5,0.38392857142857145,112,0.5,10,0.35,20,0.3333333333333333,30,0.32,50,0.38,100,2.22,2-2,2-4,Green,1.22,17502956
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,06:56:11,Total de Gols,Under,10.5,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,1.98,2-3,6-5,Red,-1.0,17503207
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,06:57:27,Total de Gols,Under,9.5,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,2.12,2-3,6-5,Red,-1.0,17503207
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,06:59:12,Total de Gols,Under,11.5,1.0,7,1.0,7,1.0,7,1.0,7,1.0,7,1.0,7,1.7,3-3,6-5,Green,0.7,17503207
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,07:02:48,Total de Gols,Under,12.5,1.0,7,1.0,7,1.0,7,1.0,7,1.0,7,1.0,7,1.4,5-5,6-5,Green,0.4,17503207
, CLA-UA Spain Cyber Cup (UA),k0tik x sensiz,k0tik,Girona FC,sensiz,Espanyol,26/08/2026,06:58:47,Total de Gols,Under,4.5,0.07692307692307693,13,0.1,10,0.07692307692307693,13,0.07692307692307693,13,0.07692307692307693,13,0.07692307692307693,13,2.06,0-2,3-3,Red,-1.0,17502976
, CLA-UA Spain Cyber Cup (UA),k0tik x sensiz,k0tik,Girona FC,sensiz,Espanyol,26/08/2026,06:59:54,Total de Gols,Under,3.5,0.0,13,0.0,10,0.0,13,0.0,13,0.0,13,0.0,13,2.36,0-2,3-3,Red,-1.0,17502976
, CLA-UA Spain Cyber Cup (UA),k0tik x sensiz,k0tik,Girona FC,sensiz,Espanyol,26/08/2026,07:01:01,Total de Gols,Under,5.5,0.15384615384615385,13,0.2,10,0.15384615384615385,13,0.15384615384615385,13,0.15384615384615385,13,0.15384615384615385,13,1.44,1-2,3-3,Red,-1.0,17502976
,CLA-UA World Cyber Cup (UA),shatik666 x bod1a,shatik666,Romania,bod1a,Spain,26/08/2026,06:57:58,Total de Gols,Under,10.5,0.9230769230769231,13,0.9,10,0.9230769230769231,13,0.9230769230769231,13,0.9230769230769231,13,0.9230769230769231,13,2.22,4-2,5-3,Green,1.22,17503201
